Fábrica;Tipo de Evento;Evento;Horário de Início;Horario Recuperado;Atuação da bateria;Anotações
RD - Moema - SP;Aviso;Bateria aberta;2025-06-10 10:06:15;2025-06-25 16:24:17;06:18:02;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-10 10:06:15;2025-06-24 15:56:24;05:50:09;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-06-10 10:06:15;2025-06-24 17:24:32;07:18:17;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-06-24 15:56:24;2025-06-24 17:24:32;01:28:08;
RD - Moema - SP;Aviso;Conjunto multi-mestre em sistema paralelo;2025-06-24 15:56:24;2025-06-24 17:29:29;01:33:05;
RD - Moema - SP;Falha;Erro de Fase em 3 Sistema de Fase;2025-06-24 15:56:24;2025-06-24 17:29:29;01:33:05;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-06-24 17:35:30;2025-06-25 16:24:17;22:48:47;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-06-24 17:35:30;2025-06-25 16:24:17;22:48:47;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-25 16:36:35;2025-06-25 16:42:35;00:06:00;
RD - Moema - SP;Aviso;Bateria aberta;2025-06-25 16:48:36;2025-06-26 13:02:58;20:14:22;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-06-25 16:48:36;2025-06-26 08:22:43;15:34:07;
RD - Moema - SP;Aviso;Verificação do estado da bateria;2025-06-25 16:48:36;2025-06-26 08:22:43;15:34:07;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-06-25 16:48:36;2025-06-26 08:22:43;15:34:07;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-06-26 08:28:43;2025-06-26 13:02:58;04:34:15;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-06-26 08:28:43;2025-06-26 13:02:58;04:34:15;
RD - Moema - SP;Falha;Para SPEC Regulação da segurança da rede Dif.;2025-06-26 08:52:49;2025-06-26 13:02:58;04:10:09;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-26 13:02:58;2025-06-26 13:05:33;00:02:35;
RD - Moema - SP;Aviso;Conjunto multi-mestre em sistema paralelo;2025-06-26 13:02:58;2025-06-26 13:05:33;00:02:35;
RD - Moema - SP;Falha;Erro de Fase em 3 Sistema de Fase;2025-06-26 13:02:58;2025-06-26 13:11:33;00:08:35;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-06-26 13:11:33;2025-06-26 13:17:37;00:06:04;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-26 13:17:37;2025-06-26 14:30:40;01:13:03;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-26 14:36:41;2025-06-26 14:42:43;00:06:02;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-26 15:31:03;2025-06-26 15:37:03;00:06:00;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-26 15:49:05;2025-06-26 15:55:06;00:06:01;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-26 16:07:12;2025-06-26 17:01:39;00:54:27;
RD - Moema - SP;Aviso;Perda de fase para sistema paralelo;2025-06-26 16:07:12;2025-06-26 16:13:16;00:06:04;
RD - Moema - SP;Aviso;Perda de fase para sistema paralelo;2025-06-26 17:01:39;2025-06-26 17:07:41;00:06:02;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-26 17:13:45;2025-06-26 17:19:48;00:06:03;
RD - Moema - SP;Falha;Alta voltagem de ônibus;2025-06-27 09:14:59;2025-06-27 09:21:02;00:06:03;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-27 10:33:25;2025-06-27 10:51:33;00:18:08;
RD - Moema - SP;Aviso;Perda de fase para sistema paralelo;2025-06-27 11:45:48;2025-06-27 11:51:50;00:06:02;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-27 16:17:33;2025-06-27 16:23:36;00:06:03;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-27 16:40:53;2025-06-27 16:52:57;00:12:04;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-30 10:01:02;2025-06-30 10:13:09;00:12:07;
RD - Moema - SP;Aviso;Perda de fase para sistema paralelo;2025-06-30 10:01:02;2025-06-30 10:07:06;00:06:04;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-06-30 14:17:16;2025-06-30 14:23:17;00:06:01;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-07-30 04:07:49;2025-07-30 04:11:49;00:04:00;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-07-30 04:46:28;2025-07-30 05:02:34;00:16:06;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-07-30 23:43:44;2025-07-30 23:45:46;00:02:02;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-07-30 23:49:46;2025-07-30 23:56:04;00:06:18;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-07-30 23:53:48;2025-07-31 00:10:23;00:16:35;
RD - Moema - SP;Aviso;Bateria aberta;2025-07-30 23:56:04;2025-07-31 01:00:54;01:04:50;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-07-30 23:58:08;2025-07-31 00:08:55;00:10:47;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-07-31 00:16:24;2025-07-31 00:49:25;00:33:01;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-07-31 00:16:24;2025-07-31 00:49:25;00:33:01;
RD - Moema - SP;Aviso;Verificação do estado da bateria;2025-07-31 00:49:25;2025-07-31 01:00:54;00:11:29;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-07-31 01:00:54;2025-07-31 01:19:21;00:18:27;
RD - Moema - SP;Aviso;Bateria aberta;2025-07-31 01:02:54;2025-07-31 01:03:29;00:00:35;
RD - Moema - SP;Aviso;Verificação do estado da bateria;2025-07-31 01:02:54;2025-07-31 01:03:29;00:00:35;
RD - Moema - SP;Aviso;Verificação do estado da bateria;2025-07-31 01:15:42;2025-07-31 01:19:21;00:03:39;
RD - Moema - SP;Aviso;Bateria aberta;2025-07-31 01:19:21;2025-07-31 01:25:24;00:06:03;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-07-31 02:17:25;2025-07-31 02:23:03;00:05:38;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-07-31 02:23:03;2025-07-31 02:28:24;00:05:21;
RD - Moema - SP;Aviso;Verificação do estado da bateria;2025-07-31 02:23:03;2025-07-31 02:28:24;00:05:21;
RD - Moema - SP;Aviso;Bateria aberta;2025-07-31 02:28:24;2025-07-31 03:08:08;00:39:44;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-07-31 03:08:08;2025-07-31 03:12:09;00:04:01;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-07-31 21:31:22;2025-07-31 21:33:22;00:02:00;
RD - Moema - SP;Aviso;Bateria aberta;2025-07-31 21:35:24;2025-07-31 21:45:28;00:10:04;
RD - Moema - SP;Aviso;Verificação do estado da bateria;2025-07-31 21:35:24;2025-07-31 21:45:28;00:10:04;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-07-31 21:37:25;2025-07-31 21:45:28;00:08:03;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-07-31 21:37:25;2025-07-31 21:45:28;00:08:03;
RD - Moema - SP;Aviso;Baixa voltagem da bateria;2025-07-31 21:47:30;2025-07-31 21:51:30;00:04:00;
RD - Moema - SP;Aviso;Falha de comunicação com bateria;2025-07-31 21:47:30;2025-07-31 21:51:30;00:04:00;
RD - Moema - SP;Aviso;Bateria aberta;2025-07-31 21:49:29;2025-07-31 21:51:30;00:02:01;
RD - Moema - SP;Aviso;AC Tensão fora do intervalo;2025-11-17 14:46:25;2025-11-17 14:52:26;00:06:01;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-11-17 14:52:26;2025-11-17 14:58:31;00:06:05;
RD - Moema - SP;Aviso;AC Tensão fora do intervalo;2025-11-17 16:41:20;2025-11-17 17:17:39;00:36:19;
RD - Moema - SP;Aviso;AC Tensão fora do intervalo;2025-11-17 22:56:26;2025-11-17 23:02:30;00:06:04;
RD - Moema - SP;Aviso;Sem Conexão AC;2025-11-18 08:43:18;;;Sistema ficou OFF ( internet ) após a bateria entrar, sem dados para leitura
RD - PERDIZES;Aviso;Sem Conexão AC;2025-06-26 15:48:38;2025-06-26 15:53:39;00:05:01;
RD - PERDIZES;Aviso;Sem Conexão AC;2025-06-26 15:59:43;2025-06-26 16:01:44;00:02:01;
RD - PERDIZES;Aviso;Bateria aberta;2025-06-26 16:03:46;2025-06-26 16:09:48;00:06:02;
RD - PERDIZES;Aviso;Perda de fase para sistema paralelo;2025-06-26 16:03:46;2025-06-26 16:05:45;00:01:59;
RD - PERDIZES;Aviso;Verificação do estado da bateria;2025-06-26 16:03:46;2025-06-26 16:05:45;00:01:59;
RD - PERDIZES;Aviso;Perda de fase para sistema paralelo;2025-06-26 16:07:47;2025-06-26 16:09:48;00:02:01;
RD - PERDIZES;Aviso;Sem Conexão AC;2025-06-26 16:19:52;2025-06-26 16:58:10;00:38:18;
RD - PERDIZES;Aviso;Sem Conexão AC;2025-06-26 17:10:16;2025-06-26 17:20:22;00:10:06;
RD - PERDIZES;Falha;Alta voltagem de ônibus;2025-06-26 17:10:16;2025-06-26 17:16:20;00:06:04;
